timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1524176512935,442,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7128,534,8,8,442,0,57
1524176515176,353,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7122,534,8,8,353,0,13
1524176517223,477,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7127,534,8,8,477,0,11
1524176517195,505,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7128,534,8,8,505,0,13
1524176517684,282,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7126,534,8,8,280,0,25
1524176518793,263,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7511,534,8,8,262,0,9
1524176520958,406,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7130,534,8,8,406,0,10
1524176522825,258,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7128,534,8,8,257,0,6
1524176524384,359,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7126,534,8,8,358,0,12
1524176526540,353,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7124,534,8,8,353,0,14
1524176528708,377,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7125,534,8,8,376,0,9
1524176528708,404,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7130,534,8,8,403,0,9
1524176528978,683,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7128,534,8,8,683,0,9
1524176530072,511,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7513,534,8,8,510,0,8
1524176532377,353,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7128,534,8,8,353,0,33
